2026/07/21 21:12:09.438, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:09.560, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:09.661, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:09.762, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:09.862, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:09.963, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:10.063, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:10.163, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:10.263, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:10.364, 8.31, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:10.464, 12.89, 202, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:10.610, 12.89, 202, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:10.710, 12.89, 202, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:10.810, 12.89, 202, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:10.910, 13.87, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:11.011, 13.87, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:11.111, 13.87, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:11.211, 13.87, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:11.311, 13.87, 195, 405, 45, 134, 0x0000000000000000
2026/07/21 21:12:11.411, 20.15, 675, 14001, 47, 713, 0x0000000000000000
2026/07/21 21:12:11.511, 20.15, 675, 14001, 47, 713, 0x0000000000000000
2026/07/21 21:12:11.612, 20.15, 675, 14001, 47, 134, 0x0000000000000000
2026/07/21 21:12:11.712, 20.15, 675, 14001, 47, 134, 0x0000000000000000
2026/07/21 21:12:11.812, 20.15, 675, 14001, 47, 134, 0x0000000000000000
2026/07/21 21:12:11.912, 91.04, 2587, 14001, 51, 134, 0x0000000000000000
2026/07/21 21:12:12.012, 91.04, 2587, 14001, 51, 134, 0x0000000000000000
2026/07/21 21:12:12.112, 91.04, 2587, 14001, 51, 134, 0x0000000000000000
2026/07/21 21:12:12.213, 91.04, 2587, 14001, 51, 134, 0x0000000000000000
2026/07/21 21:12:12.313, 91.04, 2587, 14001, 51, 134, 0x0000000000000000
2026/07/21 21:12:12.413, 122.06, 2587, 14001, 48, 134, 0x0000000000000000
2026/07/21 21:12:12.513, 122.06, 2587, 14001, 48, 134, 0x0000000000000000
2026/07/21 21:12:12.613, 122.06, 2587, 14001, 48, 134, 0x0000000000000000
2026/07/21 21:12:12.713, 122.06, 2587, 14001, 48, 134, 0x0000000000000000
